,date,incidents,n_killed,n_injured,year
663,2015-05-03,154,56,103,2014
664,2015-05-04,149,32,76,2014
665,2015-05-05,144,32,69,2014
666,2015-05-06,162,31,96,2014
667,2015-05-07,160,33,79,2014
668,2015-05-08,133,29,58,2014
669,2015-05-09,174,46,95,2014
670,2015-05-10,183,51,91,2014
671,2015-05-11,164,38,63,2014
672,2015-05-12,154,40,79,2014
673,2015-05-13,173,35,86,2014
674,2015-05-14,132,28,57,2014
675,2015-05-15,157,34,73,2014
676,2015-05-16,155,31,116,2014
677,2015-05-17,205,52,124,2014
678,2015-05-18,163,28,78,2014
679,2015-05-19,160,28,85,2014
680,2015-05-20,166,42,74,2014
681,2015-05-21,157,28,79,2014
682,2015-05-22,137,20,80,2014
683,2015-05-23,165,50,85,2014
684,2015-05-24,168,37,124,2014
685,2015-05-25,201,47,115,2014
686,2015-05-26,201,48,108,2014
687,2015-05-27,155,35,73,2014
688,2015-05-28,144,27,86,2014
689,2015-05-29,149,42,70,2014
690,2015-05-30,178,37,116,2014
691,2015-05-31,172,56,101,2014
692,2015-06-01,177,33,74,2014
693,2015-06-02,149,24,73,2014
694,2015-06-03,155,38,64,2014
695,2015-06-04,128,24,52,2014
696,2015-06-05,124,22,62,2014
697,2015-06-06,188,48,125,2014
698,2015-06-07,180,52,92,2014
699,2015-06-08,152,37,86,2014
700,2015-06-09,175,41,78,2014
701,2015-06-10,175,31,93,2014
702,2015-06-11,138,36,79,2014
703,2015-06-12,147,32,69,2014
704,2015-06-13,175,45,105,2014
705,2015-06-14,174,48,101,2014
706,2015-06-15,133,29,65,2014
707,2015-06-16,145,28,70,2014
708,2015-06-17,137,39,62,2014
709,2015-06-18,143,27,78,2014
710,2015-06-19,143,35,70,2014
711,2015-06-20,138,38,101,2014
712,2015-06-21,163,56,103,2014
713,2015-06-22,149,36,73,2014
714,2015-06-23,154,41,82,2014
715,2015-06-24,141,30,73,2014
716,2015-06-25,134,32,65,2014
717,2015-06-26,142,40,70,2014
718,2015-06-27,149,42,93,2014
719,2015-06-28,169,32,111,2014
720,2015-06-29,151,33,78,2014
721,2015-06-30,168,43,67,2014
722,2015-07-01,151,35,78,2014
723,2015-07-02,159,49,84,2014
724,2015-07-03,125,31,73,2014
725,2015-07-04,211,60,142,2014
726,2015-07-05,209,74,134,2014
727,2015-07-06,152,35,71,2014
728,2015-07-07,143,42,64,2014
729,2015-07-08,141,32,63,2014
730,2015-07-09,169,39,68,2014
731,2015-07-10,146,38,78,2014
732,2015-07-11,143,37,70,2014
733,2015-07-12,188,55,125,2014
734,2015-07-13,153,32,83,2014
735,2015-07-14,153,30,85,2014
736,2015-07-15,182,47,94,2014
737,2015-07-16,167,43,72,2014
738,2015-07-17,178,43,92,2014
739,2015-07-18,153,54,98,2014
740,2015-07-19,193,43,126,2014
741,2015-07-20,181,39,80,2014
742,2015-07-21,144,34,70,2014
743,2015-07-22,177,37,92,2014
744,2015-07-23,145,39,71,2014
745,2015-07-24,176,41,86,2014
746,2015-07-25,173,43,99,2014
747,2015-07-26,181,53,98,2014
748,2015-07-27,154,42,80,2014
749,2015-07-28,129,34,58,2014
750,2015-07-29,150,38,65,2014
751,2015-07-30,193,42,93,2014
752,2015-07-31,157,32,77,2014
753,2015-08-01,197,45,122,2014
754,2015-08-02,195,51,143,2014
755,2015-08-03,160,29,93,2014
756,2015-08-04,176,32,81,2014
757,2015-08-05,172,38,80,2014
758,2015-08-06,137,32,61,2014
759,2015-08-07,156,47,71,2014
